"","RUELLE_ID","Uniq_S_ID","lat","long","Group_S_ID"
"33","RPP-I-1000010a",315,-398631.412772009,184214.727671023,"RPP-I-1000010a_3"
"34","RPP-I-1000010b",346,-398332.903274533,183990.118185593,"RPP-I-1000010b_1"
"35","RPP-I-1000010b",347,-398272.386729236,183946.28248291,"RPP-I-1000010b_2"
"36","RPP-I-1000010b",348,-398395.359452692,184037.057300856,"RPP-I-1000010b_3"
"37","RPP-I-1000102a",355,-399773.468601204,183940.075657751,"RPP-I-1000102a_1"
"38","RPP-I-1000102a",356,-399762.606657176,183931.153346586,"RPP-I-1000102a_2"
"39","RPP-I-1000102a",357,-399784.330545232,183948.610042345,"RPP-I-1000102a_3"
"40","RPP-I-1000102b",358,-399795.580415832,183912.920797682,"RPP-I-1000102b_1"
"41","RPP-I-1000102b",359,-399782.778838942,183907.101899096,"RPP-I-1000102b_2"
"42","RPP-I-1000102b",360,-399808.769919294,183919.515549413,"RPP-I-1000102b_3"
"43","RPP-F-1000029",49,-395794.017213654,186372.257020491,"RPP-F-1000029_1"
"44","RPP-F-1000029",50,-395755.138022729,186352.267247798,"RPP-F-1000029_2"
"45","RPP-F-1000029",51,-395821.709467568,186387.478590524,"RPP-F-1000029_3"
"46","RPP-F-1000092",52,-395587.886357293,186260.458450662,"RPP-F-1000092_1"
"47","RPP-F-1000092",53,-395527.757738569,186227.872618579,"RPP-F-1000092_2"
"48","RPP-F-1000092",54,-395644.135710294,186291.492576455,"RPP-F-1000092_3"
"49","RPP-H-1000005",154,-396477.886896058,185508.074863461,"RPP-H-1000005_1"
"50","RPP-H-1000005",155,-396434.439119948,185485.187195688,"RPP-H-1000005_2"
"51","RPP-H-1000005",156,-396520.558819024,185529.022898371,"RPP-H-1000005_3"
"52","RPP-H-1000006",175,-396113.041954701,185622.125275751,"RPP-H-1000006_1"
"53","RPP-H-1000006",176,-396162.69655597,185647.728429531,"RPP-H-1000006_2"
"54","RPP-H-1000006",177,-396061.835647142,185595.746268827,"RPP-H-1000006_3"
"55","RPP-H-1000007",19,-396864.361634568,187620.704945321,"RPP-H-1000007_1"
"56","RPP-H-1000007",20,-396912.593838405,187646.11298127,"RPP-H-1000007_2"
"57","RPP-H-1000007",21,-396810.961694606,187591.205784939,"RPP-H-1000007_3"
"58","RPP-H-1000009",7,-395960.848972868,187558.72206655,"RPP-H-1000009_1"
"59","RPP-H-1000009",8,-395954.303510217,187571.713818175,"RPP-H-1000009_2"
"60","RPP-H-1000009",9,-395968.088651255,187545.531967572,"RPP-H-1000009_3"
"61","RPP-H-1000013",187,-394925.792679821,185449.885877598,"RPP-H-1000013_1"
"62","RPP-H-1000013",188,-394881.956977138,185427.774062971,"RPP-H-1000013_2"
"63","RPP-H-1000013",189,-394967.688749642,185471.609765654,"RPP-H-1000013_3"
"64","RPP-H-1000015",130,-396661.764091383,185677.598775607,"RPP-H-1000015_1"
"65","RPP-H-1000015",131,-396634.609231314,185662.469639282,"RPP-H-1000015_2"
"66","RPP-H-1000015",132,-396693.574070322,185693.115838503,"RPP-H-1000015_3"
"67","RPP-H-1000016",121,-396754.478542191,185497.212919433,"RPP-H-1000016_1"
"68","RPP-H-1000016",122,-396724.608196115,185482.859636254,"RPP-H-1000016_2"
"69","RPP-H-1000016",123,-396781.63340226,185512.342055757,"RPP-H-1000016_3"
"70","RPP-H-1000017",82,-397072.578331572,186771.939636393,"RPP-H-1000017_1"
"71","RPP-H-1000017",83,-397019.820317724,186744.008923179,"RPP-H-1000017_2"
"72","RPP-H-1000017",84,-397119.517446835,186795.60315731,"RPP-H-1000017_3"
"73","RPP-H-1000019",1,-395731.591807611,188198.981038491,"RPP-H-1000019_1"
"74","RPP-H-1000019",2,-395666.657569697,188165.052234779,"RPP-H-1000019_2"
"75","RPP-H-1000019",3,-395610.847788135,188136.350061404,"RPP-H-1000019_3"
"76","RPP-H-1000025",205,-397298.545560006,185208.207622983,"RPP-H-1000025_1"
"77","RPP-H-1000025",206,-397290.764606949,185203.072669738,"RPP-H-1000025_2"
"78","RPP-H-1000025",207,-397305.2659975,185213.84513129,"RPP-H-1000025_3"
"79","RPP-H-1000027",118,-396987.234485641,185541.824475261,"RPP-H-1000027_1"
"80","RPP-H-1000027",119,-396948.829754971,185522.816073213,"RPP-H-1000027_2"
"81","RPP-H-1000027",120,-397020.596170868,185559.28117102,"RPP-H-1000027_3"
"82","RPP-H-1000030",31,-396062.503701934,186845.22604595,"RPP-H-1000030_1"
"83","RPP-H-1000030",32,-396095.881120558,186863.932071773,"RPP-H-1000030_2"
"84","RPP-H-1000030",33,-396027.017270593,186826.428323922,"RPP-H-1000030_3"
"85","RPP-H-1000032",349,-399814.200891308,184061.108748345,"RPP-H-1000032_1"
"86","RPP-H-1000032",350,-399771.528968342,184029.298769407,"RPP-H-1000032_2"
"87","RPP-H-1000032",351,-399850.665989115,184089.427388132,"RPP-H-1000032_3"
"88","RPP-H-1000040",250,-397987.066735224,184469.983355673,"RPP-H-1000040_1"
"89","RPP-H-1000040",251,-397942.843105968,184436.233743873,"RPP-H-1000040_2"
"90","RPP-H-1000040",252,-398028.1869519,184500.629554894,"RPP-H-1000040_3"
"91","RPP-H-1000041",115,-396945.726342392,185595.746268827,"RPP-H-1000041_1"
"92","RPP-H-1000041",116,-396912.364657164,185579.065426213,"RPP-H-1000041_2"
"93","RPP-H-1000041",117,-396975.984615041,185612.039184868,"RPP-H-1000041_3"
"94","RPP-H-1000043",151,-396425.12888221,185631.047586917,"RPP-H-1000043_1"
"95","RPP-H-1000043",152,-396387.500004685,185611.651258296,"RPP-H-1000043_2"
"96","RPP-H-1000043",153,-396462.369833162,185650.83184211,"RPP-H-1000043_3"
"97","RPP-H-1000045",163,-396274.613372112,185327.689007287,"RPP-H-1000045_1"
"98","RPP-H-1000045",164,-396226.12255056,185302.085853508,"RPP-H-1000045_2"
"99","RPP-H-1000045",165,-396315.345662216,185348.249115625,"RPP-H-1000045_3"
"100","RPP-H-1000050",331,-399129.704454278,183938.523951462,"RPP-H-1000050_1"
"101","RPP-H-1000050",332,-399083.929118733,183903.222633372,"RPP-H-1000050_2"
"102","RPP-H-1000050",333,-399180.522835265,183975.376975841,"RPP-H-1000050_3"
"103","RPP-H-1000056",109,-396879.390898509,185712.512167124,"RPP-H-1000056_1"
"104","RPP-H-1000056",110,-396909.261244585,185728.029230021,"RPP-H-1000056_2"
"105","RPP-H-1000056",111,-396852.23603844,185698.546810517,"RPP-H-1000056_3"
"106","RPP-H-1000057",127,-396694.349923467,185618.246010027,"RPP-H-1000057_1"
"107","RPP-H-1000057",128,-396663.315797673,185602.341020558,"RPP-H-1000057_2"
"108","RPP-H-1000057",129,-396723.444416398,185633.375146351,"RPP-H-1000057_3"
"109","RPP-H-1000058",73,-396175.595114504,186131.66682862,"RPP-H-1000058_1"
"110","RPP-H-1000058",74,-396212.448138883,186151.451083813,"RPP-H-1000058_2"
"111","RPP-H-1000058",75,-396135.638677545,186111.882573427,"RPP-H-1000058_3"
"112","RPP-H-1000059",148,-396392.930976699,185690.400352497,"RPP-H-1000059_1"
"113","RPP-H-1000059",149,-396352.586613168,185669.452317586,"RPP-H-1000059_2"
"114","RPP-H-1000059",150,-396437.154605955,185712.900093697,"RPP-H-1000059_3"
"115","RPP-H-1000060",160,-396548.489532238,185392.860671453,"RPP-H-1000060_1"
"116","RPP-H-1000060",161,-396509.696874996,185373.07641626,"RPP-H-1000060_2"
"117","RPP-H-1000060",162,-396584.954630045,185411.481146929,"RPP-H-1000060_3"
"118","RPP-H-1000061",55,-395668.963010928,186123.908297172,"RPP-H-1000061_1"
"119","RPP-H-1000061",56,-395614.265364218,186095.201730813,"RPP-H-1000061_2"
"120","RPP-H-1000061",57,-395715.126273046,186147.959744661,"RPP-H-1000061_3"
"121","RPP-H-1000064",58,-395878.831286605,186235.243223455,"RPP-H-1000064_1"
"122","RPP-H-1000064",59,-395902.882734095,186247.656873772,"RPP-H-1000064_2"
"123","RPP-H-1000064",60,-395855.943618833,186224.381279427,"RPP-H-1000064_3"
"124","RPP-H-1000065",157,-396517.843333017,185452.213437033,"RPP-H-1000065_1"
"125","RPP-H-1000065",158,-396476.335189769,185431.265402122,"RPP-H-1000065_2"
"126","RPP-H-1000065",159,-396555.084283969,185471.609765654,"RPP-H-1000065_3"
"127","RPP-H-1000066",136,-396599.695839797,185796.304306766,"RPP-H-1000066_1"
"128","RPP-H-1000066",137,-396569.049640576,185780.399317297,"RPP-H-1000066_2"
"129","RPP-H-1000066",138,-396629.178259301,185811.045516518,"RPP-H-1000066_3"
"130","RPP-H-1000067",133,-396631.117892163,185736.175688042,"RPP-H-1000067_1"
"131","RPP-H-1000067",134,-396604.738885238,185722.598258007,"RPP-H-1000067_2"
"132","RPP-H-1000067",135,-396660.600311666,185751.304824366,"RPP-H-1000067_3"
"133","RPP-H-1000068",112,-396910.425024302,185653.547328117,"RPP-H-1000068_1"
"134","RPP-H-1000068",113,-396875.511632785,185635.702705786,"RPP-H-1000068_2"
"135","RPP-H-1000068",114,-396943.398782958,185669.840244158,"RPP-H-1000068_3"
"136","RPP-H-1000069",247,-397270.372392683,184834.634333745,"RPP-H-1000069_1"
"137","RPP-H-1000069",248,-397224.597057138,184799.333015655,"RPP-H-1000069_2"
"138","RPP-H-1000069",249,-397314.983948511,184868.771872118,"RPP-H-1000069_3"
"139","RPP-H-1000076",289,-398720.441920378,185023.942501085,"RPP-H-1000076_1"
"140","RPP-H-1000076",290,-398669.623539392,184986.31362356,"RPP-H-1000076_2"
"141","RPP-H-1000076",291,-398765.053476206,185055.752480023,"RPP-H-1000076_3"
"142","RPP-H-1000080",280,-398984.231989622,185215.190301286,"RPP-H-1000080_1"
"143","RPP-H-1000080",281,-398935.74116807,185180.276909769,"RPP-H-1000080_2"
"144","RPP-H-1000080",282,-399031.559031457,185249.715766231,"RPP-H-1000080_3"
"145","RPP-H-1000081",277,-398926.430930332,185290.835982908,"RPP-H-1000081_1"
"146","RPP-H-1000081",278,-398871.733283621,185251.655399094,"RPP-H-1000081_2"
"147","RPP-H-1000081",279,-398974.533825311,185326.137300998,"RPP-H-1000081_3"
"148","RPP-H-1000088",124,-396724.996122687,185558.505317875,"RPP-H-1000088_1"
"149","RPP-H-1000088",125,-396752.150982757,185572.08274791,"RPP-H-1000088_2"
"150","RPP-H-1000088",126,-396699.392968908,185545.315814413,"RPP-H-1000088_3"
"151","RPP-H-1000089",244,-397287.829088442,184765.195477283,"RPP-H-1000089_1"
"152","RPP-H-1000089",245,-397243.605459187,184732.221718627,"RPP-H-1000089_2"
"153","RPP-H-1000089",246,-397325.457965967,184794.289970214,"RPP-H-1000089_3"
"154","RPP-H-1000090",184,-396030.025668204,185902.596187608,"RPP-H-1000090_1"
"155","RPP-H-1000090",185,-396004.034587852,185889.406684146,"RPP-H-1000090_2"
"156","RPP-H-1000090",186,-396055.240895411,185915.78569107,"RPP-H-1000090_3"
"157","RPP-H-1000093",181,-396042.827245094,185831.993551428,"RPP-H-1000093_1"
"158","RPP-H-1000093",182,-396007.525927004,185813.373075952,"RPP-H-1000093_2"
"159","RPP-H-1000093",183,-396075.413077177,185849.062320615,"RPP-H-1000093_3"
"160","RPP-H-1000094",178,-396073.473444314,185758.287502669,"RPP-H-1000094_1"
"161","RPP-H-1000094",179,-396034.680787073,185738.503247476,"RPP-H-1000094_2"
"162","RPP-H-1000094",180,-396106.44720297,185774.580418711,"RPP-H-1000094_3"
"163","RPP-H-1000095",40,-395959.437167499,186544.279101096,"RPP-H-1000095_1"
"164","RPP-H-1000095",41,-395928.443850204,186527.223606964,"RPP-H-1000095_2"
"165","RPP-H-1000095",42,-395988.963345513,186560.050848359,"RPP-H-1000095_3"
"166","RPP-H-1000096",34,-396099.090487734,186783.881284796,"RPP-H-1000096_1"
"167","RPP-H-1000096",35,-396134.485222869,186803.320880259,"RPP-H-1000096_2"
"168","RPP-H-1000096",36,-396064.062537419,186765.542043794,"RPP-H-1000096_3"
"169","RPP-H-1000097",37,-396177.949224045,186664.492825869,"RPP-H-1000097_1"
"170","RPP-H-1000097",38,-396212.97717436,186682.648674461,"RPP-H-1000097_2"
"171","RPP-H-1000097",39,-396144.57180542,186645.603407636,"RPP-H-1000097_3"
"172","RPP-H-1000100",25,-396263.18166532,187303.319818289,"RPP-H-1000100_1"
"173","RPP-H-1000100",26,-396305.600166015,187325.49801916,"RPP-H-1000100_2"
"174","RPP-H-1000100",27,-396220.978486963,187280.926295079,"RPP-H-1000100_3"
"175","RPP-H-1000104",292,-398663.416714233,185100.364035851,"RPP-H-1000104_1"
"176","RPP-H-1000104",293,-398611.434553529,185061.959305182,"RPP-H-1000104_2"
"177","RPP-H-1000104",294,-398711.907535785,185134.889500796,"RPP-H-1000104_3"
"178","RPP-H-1000106",85,-397512.487064692,186707.543825372,"RPP-H-1000106_1"
"179","RPP-H-1000106",86,-397460.116977416,186680.00103873,"RPP-H-1000106_2"
"180","RPP-H-1000106",87,-397562.141665962,186732.759052579,"RPP-H-1000106_3"
"181","RPP-H-1000107",28,-396060.993989415,187196.304616027,"RPP-H-1000107_1"
"182","RPP-H-1000107",29,-396087.047992381,187210.515890371,"RPP-H-1000107_2"
"183","RPP-H-1000107",30,-396033.863374757,187181.878019343,"RPP-H-1000107_3"
"184","RPP-H-1000109",142,-396328.535165678,185807.554177366,"RPP-H-1000109_1"
"185","RPP-H-1000109",143,-396288.966655292,185787.381995601,"RPP-H-1000109_2"
"186","RPP-H-1000109",144,-396366.551969775,185827.338432559,"RPP-H-1000109_3"
"187","RPP-H-1000110",76,-396230.680687787,186005.202766013,"RPP-H-1000110_1"
"188","RPP-H-1000110",77,-396272.96468418,186026.926654068,"RPP-H-1000110_2"
"189","RPP-H-1000110",78,-396194.603516552,185986.582290537,"RPP-H-1000110_3"
"190","RPP-H-1000111",43,-396005.835447235,186392.613578004,"RPP-H-1000111_1"
"191","RPP-H-1000111",44,-396026.192004748,186403.800515016,"RPP-H-1000111_2"
"192","RPP-H-1000111",45,-395986.395851772,186382.160210633,"RPP-H-1000111_3"
"193","RPP-I-1000018",10,-396014.898626577,187503.482328723,"RPP-I-1000018_1"
"194","RPP-I-1000018",11,-396021.741610257,187491.482313863,"RPP-I-1000018_2"
"195","RPP-I-1000018",12,-396008.551511279,187515.28399623,"RPP-I-1000018_3"
"196","RPP-I-1000020",64,-394742.012466141,186039.340304385,"RPP-I-1000020_1"
"197","RPP-I-1000020",65,-394747.831364727,186029.642140075,"RPP-I-1000020_2"
"198","RPP-I-1000020",66,-394735.805640982,186049.038468696,"RPP-I-1000020_3"
"199","RPP-I-1000021",304,-399075.200770854,184549.120376446,"RPP-I-1000021_1"
"200","RPP-I-1000021",305,-399015.460078701,184503.732967473,"RPP-I-1000021_2"
"201","RPP-I-1000021",306,-399136.881095868,184594.119858847,"RPP-I-1000021_3"
"202","RPP-I-1000023",226,-397945.995009369,184992.520448719,"RPP-I-1000023_1"
"203","RPP-I-1000023",227,-397887.806023507,184949.072672609,"RPP-I-1000023_2"
"204","RPP-I-1000023",228,-398013.106306397,185028.209693382,"RPP-I-1000023_3"
"205","RPP-I-1000033",286,-399094.791062761,185071.26954292,"RPP-I-1000033_1"
"206","RPP-I-1000033",287,-399027.679765732,185022.390794795,"RPP-I-1000033_2"
"207","RPP-I-1000033",288,-399161.514433216,185120.924144189,"RPP-I-1000033_3"
"208","RPP-I-1000034",337,-399189.639109716,184385.803289459,"RPP-I-1000034_1"
"209","RPP-I-1000034",338,-399125.243298695,184337.312467907,"RPP-I-1000034_2"
"210","RPP-I-1000034",339,-399255.9745536,184435.457890728,"RPP-I-1000034_3"
"211","RPP-I-1000035",367,-399542.220672744,183536.887001549,"RPP-I-1000035_1"
"212","RPP-I-1000035",368,-399476.654608547,183489.087225714,"RPP-I-1000035_2"
"213","RPP-I-1000035",369,-399601.864640821,183581.302722457,"RPP-I-1000035_3"
"214","RPP-I-1000036",325,-399059.683707957,183685.207899673,"RPP-I-1000036_1"
"215","RPP-I-1000036",326,-399016.235931846,183652.62206759,"RPP-I-1000036_2"
"216","RPP-I-1000036",327,-399114.76928124,183726.716042922,"RPP-I-1000036_3"
"217","RPP-I-1000038",214,-397725.652716236,185309.456458384,"RPP-I-1000038_1"
"218","RPP-I-1000038",215,-397658.541419208,185258.638077397,"RPP-I-1000038_2"
"219","RPP-I-1000038",216,-397781.902069237,185352.904234494,"RPP-I-1000038_3"
"220","RPP-I-1000039",256,-398279.175444254,184584.421694536,"RPP-I-1000039_1"
"221","RPP-I-1000039",257,-398224.477797543,184543.689404433,"RPP-I-1000039_2"
"222","RPP-I-1000039",258,-398322.235293792,184616.231673475,"RPP-I-1000039_3"
"223","RPP-I-1000052",220,-397804.789737009,185163.596067155,"RPP-I-1000052_1"
"224","RPP-I-1000052",221,-397746.212824575,185118.984511327,"RPP-I-1000052_2"
"225","RPP-I-1000052",222,-397858.323604003,185205.492136976,"RPP-I-1000052_3"
"226","RPP-I-1000053",217,-397765.221226623,185231.095290755,"RPP-I-1000053_1"
"227","RPP-I-1000053",218,-397823.798139058,185276.482699728,"RPP-I-1000053_2"
"228","RPP-I-1000053",219,-397714.402845636,185193.078486659,"RPP-I-1000053_3"
"229","RPP-I-1000054",103,-396967.062303875,185838.200376587,"RPP-I-1000054_1"
"230","RPP-I-1000054",104,-396974.820835323,185828.502212277,"RPP-I-1000054_2"
"231","RPP-I-1000054",105,-396958.527919282,185849.83817376,"RPP-I-1000054_3"
"232","RPP-I-1000055",343,-398278.205627822,184064.98801407,"RPP-I-1000055_1"
"233","RPP-I-1000055",344,-398211.870183939,184015.3334128,"RPP-I-1000055_2"
"234","RPP-I-1000055",345,-398336.782540257,184109.599569898,"RPP-I-1000055_3"
"235","RPP-I-1000071",4,-395540.42115902,187825.675610706,"RPP-I-1000071_1"
"236","RPP-I-1000071",5,-395532.979854812,187840.735393033,"RPP-I-1000071_2"
"237","RPP-I-1000071",6,-395548.216811048,187811.678871838,"RPP-I-1000071_3"
"238","RPP-I-1000073",259,-398329.99382524,184508.388086343,"RPP-I-1000073_1"
"239","RPP-I-1000073",260,-398279.175444254,184471.535061963,"RPP-I-1000073_2"
"240","RPP-I-1000073",261,-398379.64842651,184544.85318415,"RPP-I-1000073_3"
"241","RPP-I-1000074",316,-398688.437978154,184010.678293931,"RPP-I-1000074_1"
"242","RPP-I-1000074",317,-398633.740331443,183968.78222411,"RPP-I-1000074_2"
"243","RPP-I-1000074",318,-398748.566596878,184054.901923187,"RPP-I-1000074_3"
"244","RPP-I-1000077",340,-399389.421294511,184374.553418859,"RPP-I-1000077_1"
"245","RPP-I-1000077",341,-399382.82654278,184383.863656597,"RPP-I-1000077_2"
"246","RPP-I-1000077",342,-399396.403972815,184366.406960838,"RPP-I-1000077_3"
"247","RPP-I-1000078",301,-399353.344123277,184647.65372584,"RPP-I-1000078_1"
"248","RPP-I-1000078",302,-399304.853301725,184611.964481178,"RPP-I-1000078_2"
"249","RPP-I-1000078",303,-399397.955679105,184679.851631351,"RPP-I-1000078_3"
"250","RPP-I-1000083",232,-397972.761942866,185499.540478868,"RPP-I-1000083_1"
"251","RPP-I-1000083",233,-397912.633324141,185453.765143322,"RPP-I-1000083_2"
"252","RPP-I-1000083",234,-398037.545680459,185549.970933282,"RPP-I-1000083_3"
"253","RPP-I-1000084",322,-398888.220162949,183756.974315571,"RPP-I-1000084_1"
"254","RPP-I-1000084",323,-398826.927764507,183711.198980025,"RPP-I-1000084_2"
"255","RPP-I-1000084",324,-398944.081589377,183799.646238536,"RPP-I-1000084_3"
"256","RPP-I-1000086",253,-397831.896106257,184253.908254837,"RPP-I-1000086_1"
"257","RPP-I-1000086",254,-397798.922347602,184229.856807347,"RPP-I-1000086_2"
"258","RPP-I-1000086",255,-397862.154378906,184276.407996037,"RPP-I-1000086_3"
"259","RPP-I-1000087",361,-397650.798348212,184767.308222422,"RPP-I-1000087_1"
"260","RPP-I-1000087",362,-397642.338210896,184761.174622868,"RPP-I-1000087_2"
"261","RPP-I-1000087",363,-397657.566458065,184772.384304812,"RPP-I-1000087_3"
"262","RPP-I-1000098",208,-397433.544007207,185311.396091246,"RPP-I-1000098_1"
"263","RPP-I-1000098",209,-397407.552926855,185292.387689197,"RPP-I-1000098_2"
"264","RPP-I-1000098",210,-397454.87996869,185329.628640149,"RPP-I-1000098_3"
"265","RPP-I-1000101",229,-398023.580323852,185429.32576926,"RPP-I-1000101_1"
"266","RPP-I-1000101",230,-397965.003411417,185384.32628686,"RPP-I-1000101_2"
"267","RPP-I-1000101",231,-398075.174557984,185470.833912509,"RPP-I-1000101_3"
"268","RPP-I-1000103",307,-399127.958784702,184477.741887122,"RPP-I-1000103_1"
"269","RPP-I-1000103",308,-399063.175047109,184428.863138997,"RPP-I-1000103_2"
"270","RPP-I-1000103",309,-399190.414962862,184525.068928956,"RPP-I-1000103_3"
"271","RPP-I-1000105",235,-398332.369875496,185570.143115047,"RPP-I-1000105_1"
"272","RPP-I-1000105",236,-398269.913697337,185521.264366923,"RPP-I-1000105_2"
"273","RPP-I-1000105",237,-398380.084843903,185607.771992572,"RPP-I-1000105_3"
"274","RPP-I-1000112",61,-394993.000958494,186019.16812262,"RPP-I-1000112_1"
"275","RPP-I-1000112",62,-394911.924304859,185975.332419937,"RPP-I-1000112_2"
"276","RPP-I-1000112",63,-395056.232989798,186054.081514137,"RPP-I-1000112_3"
"277","RPP-I-1000113",268,-398892.875281817,184788.471071628,"RPP-I-1000113_1"
"278","RPP-I-1000113",269,-398833.134589665,184744.247442372,"RPP-I-1000113_2"
"279","RPP-I-1000113",270,-398944.081589376,184826.099949152,"RPP-I-1000113_3"
"280","RPP-I-1000114",265,-398638.395450312,184601.878390295,"RPP-I-1000114_1"
"281","RPP-I-1000114",266,-398573.999639291,184554.163421888,"RPP-I-1000114_2"
"282","RPP-I-1000114",267,-398692.317243878,184641.058974109,"RPP-I-1000114_3"
"283","RPP-J-1000001",334,-399133.891346011,184108.424845842,"RPP-J-1000001_1"
"284","RPP-J-1000001",335,-399128.090789791,184104.695916843,"RPP-J-1000001_2"
"285","RPP-J-1000001",336,-399140.52055312,184113.811076618,"RPP-J-1000001_3"
"286","RPP-J-1000002",328,-399014.102335698,184018.824751952,"RPP-J-1000002_1"
"287","RPP-J-1000002",329,-398977.637237891,183991.669891883,"RPP-J-1000002_2"
"288","RPP-J-1000002",330,-399047.076094353,184043.652052587,"RPP-J-1000002_3"
"289","RPP-J-1000047",274,-398813.932224331,185444.066979012,"RPP-J-1000047_1"
"290","RPP-J-1000047",275,-398759.622504192,185403.334688909,"RPP-J-1000047_2"
"291","RPP-J-1000047",276,-398863.5868256,185481.695856537,"RPP-J-1000047_3"
"292","RPP-J-1000084",262,-398529.388083463,184765.971330427,"RPP-J-1000084_1"
"293","RPP-J-1000084",263,-398477.793849331,184728.730379475,"RPP-J-1000084_2"
"294","RPP-J-1000084",264,-398582.921950456,184805.539840814,"RPP-J-1000084_3"
"295","RPP-L-1000037",97,-397291.756844987,185763.718474683,"RPP-L-1000037_1"
"296","RPP-L-1000037",98,-397258.783086332,185739.667027193,"RPP-L-1000037_2"
"297","RPP-L-1000037",99,-397314.64451276,185782.338950159,"RPP-L-1000037_3"
"298","RPP-L-1000048",271,-398774.363713944,185512.342055758,"RPP-L-1000048_1"
"299","RPP-L-1000048",272,-398720.441920378,185471.609765654,"RPP-L-1000048_2"
"300","RPP-L-1000048",273,-398836.819892103,185556.177758441,"RPP-L-1000048_3"
"301","RPP-L-1000051",310,-398847.875799417,184377.656831438,"RPP-L-1000051_1"
"302","RPP-L-1000051",311,-398794.729858996,184338.088321051,"RPP-L-1000051_2"
"303","RPP-L-1000051",312,-398895.590767824,184413.734002673,"RPP-L-1000051_3"
"304","RPP-L-1000099",211,-397637.205457726,185468.118426502,"RPP-L-1000099_1"
"305","RPP-L-1000099",212,-397583.671590732,185426.998209826,"RPP-L-1000099_2"
"306","RPP-L-1000099",213,-397683.368719843,185504.195597737,"RPP-L-1000099_3"
"307","RPP-T-1000004",352,-399916.225579853,183955.592720648,"RPP-T-1000004_1"
"308","RPP-T-1000004",353,-399882.088041481,183930.377493441,"RPP-T-1000004_2"
"309","RPP-T-1000004",354,-399947.647632219,183979.644168138,"RPP-T-1000004_3"
"310","RPP-T-1000022",295,-398604.451875225,185171.354598603,"RPP-T-1000022_1"
"311","RPP-T-1000022",296,-398545.87496279,185128.294749065,"RPP-T-1000022_2"
"312","RPP-T-1000022",297,-398659.537448509,185213.638594997,"RPP-T-1000022_3"
"313","RPP-T-1000024",238,-398186.800429196,185906.669416619,"RPP-T-1000024_1"
"314","RPP-T-1000024",239,-398171.477329586,185896.001435877,"RPP-T-1000024_2"
