"","x"
"160","c(-0.641808879905413, 0.993916925031799)"
"161","c(-0.641808879905413, 0.993916925031799)"
"162","c(-0.641808879905413, 0.993916925031799)"
"163","c(-0.641808879905413, 0.993916925031799)"
"164","c(-0.641808879905413, 0.993916925031799)"
"165","c(-0.641808879905413, 0.993916925031799)"
"166","c(-0.641808879905413, 0.993916925031799)"
"167","c(-0.641808879905413, 0.993916925031799)"
"168","c(-0.641808879905413, 0.993916925031799)"
"169","c(-0.641808879905413, 0.993916925031799)"
"170","c(-0.641808879905413, 0.993916925031799)"
"171","c(-0.641808879905413, 0.993916925031799)"
"172","c(-0.641808879905413, 0.993916925031799)"
"173","c(-0.641808879905413, 0.993916925031799)"
"174","c(-0.641808879905413, 0.993916925031799)"
"175","c(-0.641808879905413, 0.993916925031799)"
"176","c(-0.641808879905413, 0.993916925031799)"
"177","c(-0.641808879905413, 0.993916925031799)"
"178","c(-0.641808879905413, 0.993916925031799)"
"179","c(-0.641808879905413, 0.993916925031799)"
"180","c(-0.641808879905413, 0.993916925031799)"
"181","c(-0.801623468421448, 0.996073836322985)"
"182","c(-0.801623468421448, 0.996073836322985)"
"183","c(-0.801623468421448, 0.996073836322985)"
"184","c(-0.801623468421448, 0.996073836322985)"
"185","c(-0.801623468421448, 0.996073836322985)"
"186","c(-0.801623468421448, 0.996073836322985)"
"187","c(-0.801623468421448, 0.996073836322985)"
"188","c(-0.801623468421448, 0.996073836322985)"
"189","c(-0.801623468421448, 0.996073836322985)"
"190","c(-0.801623468421448, 0.996073836322985)"
"191","c(-0.801623468421448, 0.996073836322985)"
"192","c(-0.801623468421448, 0.996073836322985)"
"193","c(-0.801623468421448, 0.996073836322985)"
"194","c(-0.801623468421448, 0.996073836322985)"
"195","c(-0.801623468421448, 0.996073836322985)"
"196","c(-0.801623468421448, 0.996073836322985)"
"197","c(-0.801623468421448, 0.996073836322985)"
"198","c(-0.801623468421448, 0.996073836322985)"
"199","c(-0.801623468421448, 0.996073836322985)"
"200","c(-0.801623468421448, 0.996073836322985)"
"201","c(-0.801623468421448, 0.996073836322985)"
"202","c(-0.801623468421448, 0.996073836322985)"
"203","c(-0.801623468421448, 0.996073836322985)"
"204","c(-0.801623468421448, 0.996073836322985)"
"205","c(-0.801623468421448, 0.996073836322985)"
"206","c(-0.801623468421448, 0.996073836322985)"
"207","c(-0.801623468421448, 0.996073836322985)"
"208","c(-0.801623468421448, 0.996073836322985)"
"209","c(-0.801623468421448, 0.996073836322985)"
"210","c(-0.801623468421448, 0.996073836322985)"
"211","c(-0.801623468421448, 0.996073836322985)"
"212","c(-0.801623468421448, 0.996073836322985)"
"213","c(-0.801623468421448, 0.996073836322985)"
"214","c(-0.801623468421448, 0.996073836322985)"
"215","c(-0.801623468421448, 0.996073836322985)"
"216","c(-0.801623468421448, 0.996073836322985)"
"217","c(-0.669737176864604, 0.998972717420162)"
"218","c(-0.669737176864604, 0.998972717420162)"
"219","c(-0.669737176864604, 0.998972717420162)"
"220","c(-0.669737176864604, 0.998972717420162)"
"221","c(-0.669737176864604, 0.998972717420162)"
"222","c(-0.669737176864604, 0.998972717420162)"
"223","c(-0.669737176864604, 0.998972717420162)"
"224","c(-0.669737176864604, 0.998972717420162)"
"225","c(-0.669737176864604, 0.998972717420162)"
"226","c(-0.669737176864604, 0.998972717420162)"
"227","c(-0.669737176864604, 0.998972717420162)"
"228","c(-0.669737176864604, 0.998972717420162)"
"229","c(-0.669737176864604, 0.998972717420162)"
"230","c(-0.669737176864604, 0.998972717420162)"
"231","c(-0.669737176864604, 0.998972717420162)"
"232","c(-0.669737176864604, 0.998972717420162)"
"233","c(-0.669737176864604, 0.998972717420162)"
"234","c(-0.669737176864604, 0.998972717420162)"
"235","c(-0.669737176864604, 0.998972717420162)"
"236","c(-0.669737176864604, 0.998972717420162)"
"237","c(-0.669737176864604, 0.998972717420162)"
"238","c(-0.669737176864604, 0.998972717420162)"
"239","c(-0.669737176864604, 0.998972717420162)"
"240","c(-0.669737176864604, 0.998972717420162)"
"241","c(-0.669737176864604, 0.998972717420162)"
"242","c(-0.669737176864604, 0.998972717420162)"
"243","c(-0.669737176864604, 0.998972717420162)"
"244","c(-0.669737176864604, 0.998972717420162)"
"245","c(-0.669737176864604, 0.998972717420162)"
"246","c(-0.669737176864604, 0.998972717420162)"
"247","c(-0.669737176864604, 0.998972717420162)"
"248","c(-0.669737176864604, 0.998972717420162)"
"249","c(-0.669737176864604, 0.998972717420162)"
"250","c(-0.669737176864604, 0.998972717420162)"
"251","c(-0.669737176864604, 0.998972717420162)"
"252","c(-0.669737176864604, 0.998972717420162)"
"253","c(-0.641808879905413, 0.993916925031799)"
"254","c(-0.641808879905413, 0.993916925031799)"
"255","c(-0.641808879905413, 0.993916925031799)"
"256","c(-0.641808879905413, 0.993916925031799)"
"257","c(-0.641808879905413, 0.993916925031799)"
"258","c(-0.641808879905413, 0.993916925031799)"
"259","c(-0.641808879905413, 0.993916925031799)"
"260","c(-0.641808879905413, 0.993916925031799)"
"261","c(-0.641808879905413, 0.993916925031799)"
"262","c(-0.641808879905413, 0.993916925031799)"
"263","c(-0.641808879905413, 0.993916925031799)"
"264","c(-0.641808879905413, 0.993916925031799)"
"265","c(-0.641808879905413, 0.993916925031799)"
"266","c(-0.641808879905413, 0.993916925031799)"
"267","c(-0.641808879905413, 0.993916925031799)"
"268","c(-0.641808879905413, 0.993916925031799)"
"269","c(-0.641808879905413, 0.993916925031799)"
"270","c(-0.641808879905413, 0.993916925031799)"
"271","c(-0.641808879905413, 0.993916925031799)"
"272","c(-0.641808879905413, 0.993916925031799)"
"273","c(-0.641808879905413, 0.993916925031799)"
"274","c(-0.641808879905413, 0.993916925031799)"
"275","c(-0.641808879905413, 0.993916925031799)"
"276","c(-0.641808879905413, 0.993916925031799)"
"277","c(-0.641808879905413, 0.993916925031799)"
"278","c(-0.641808879905413, 0.993916925031799)"
"279","c(-0.641808879905413, 0.993916925031799)"
"280","c(-0.641808879905413, 0.993916925031799)"
"281","c(-0.641808879905413, 0.993916925031799)"
"282","c(-0.641808879905413, 0.993916925031799)"
"283","c(-0.641808879905413, 0.993916925031799)"
"284","c(-0.641808879905413, 0.993916925031799)"
"285","c(-0.641808879905413, 0.993916925031799)"
"286","c(-0.641808879905413, 0.993916925031799)"
"287","c(-0.641808879905413, 0.993916925031799)"
"288","c(-0.641808879905413, 0.993916925031799)"
"289","c(-0.801623468421448, 0.996073836322985)"
"290","c(-0.801623468421448, 0.996073836322985)"
"291","c(-0.801623468421448, 0.996073836322985)"
"292","c(-0.801623468421448, 0.996073836322985)"
"293","c(-0.801623468421448, 0.996073836322985)"
"294","c(-0.801623468421448, 0.996073836322985)"
"295","c(-0.801623468421448, 0.996073836322985)"
"296","c(-0.801623468421448, 0.996073836322985)"
"297","c(-0.801623468421448, 0.996073836322985)"
"298","c(-0.801623468421448, 0.996073836322985)"
"299","c(-0.801623468421448, 0.996073836322985)"
"300","c(-0.801623468421448, 0.996073836322985)"
"301","c(-0.801623468421448, 0.996073836322985)"
"302","c(-0.801623468421448, 0.996073836322985)"
"303","c(-0.801623468421448, 0.996073836322985)"
"304","c(-0.801623468421448, 0.996073836322985)"
"305","c(-0.801623468421448, 0.996073836322985)"
"306","c(-0.801623468421448, 0.996073836322985)"
"307","c(-0.801623468421448, 0.996073836322985)"
"308","c(-0.801623468421448, 0.996073836322985)"
"309","c(-0.801623468421448, 0.996073836322985)"
"310","c(-0.801623468421448, 0.996073836322985)"
"311","c(-0.801623468421448, 0.996073836322985)"
"312","c(-0.801623468421448, 0.996073836322985)"
"313","c(-0.801623468421448, 0.996073836322985)"
"314","c(-0.801623468421448, 0.996073836322985)"
"315","c(-0.801623468421448, 0.996073836322985)"
"316","c(-0.801623468421448, 0.996073836322985)"
"317","c(-0.801623468421448, 0.996073836322985)"
"318","c(-0.801623468421448, 0.996073836322985)"
"319","c(-0.801623468421448, 0.996073836322985)"
"320","c(-0.801623468421448, 0.996073836322985)"
"321","c(-0.801623468421448, 0.996073836322985)"
"322","c(-0.801623468421448, 0.996073836322985)"
"323","c(-0.801623468421448, 0.996073836322985)"
"324","c(-0.801623468421448, 0.996073836322985)"
"325","c(-0.669737176864604, 0.998972717420162)"
"326","c(-0.669737176864604, 0.998972717420162)"
"327","c(-0.669737176864604, 0.998972717420162)"
"328","c(-0.669737176864604, 0.998972717420162)"
"329","c(-0.669737176864604, 0.998972717420162)"
"330","c(-0.669737176864604, 0.998972717420162)"
"331","c(-0.669737176864604, 0.998972717420162)"
"332","c(-0.669737176864604, 0.998972717420162)"
"333","c(-0.669737176864604, 0.998972717420162)"
"334","c(-0.669737176864604, 0.998972717420162)"
"335","c(-0.669737176864604, 0.998972717420162)"
"336","c(-0.669737176864604, 0.998972717420162)"
"337","c(-0.669737176864604, 0.998972717420162)"
"338","c(-0.669737176864604, 0.998972717420162)"
"339","c(-0.669737176864604, 0.998972717420162)"
"340","c(-0.669737176864604, 0.998972717420162)"
"341","c(-0.669737176864604, 0.998972717420162)"
"342","c(-0.669737176864604, 0.998972717420162)"
"343","c(-0.669737176864604, 0.998972717420162)"
"344","c(-0.669737176864604, 0.998972717420162)"
"345","c(-0.669737176864604, 0.998972717420162)"
"346","c(-0.669737176864604, 0.998972717420162)"
"347","c(-0.669737176864604, 0.998972717420162)"
"348","c(-0.669737176864604, 0.998972717420162)"
"349","c(-0.669737176864604, 0.998972717420162)"
"350","c(-0.669737176864604, 0.998972717420162)"
"351","c(-0.669737176864604, 0.998972717420162)"
"352","c(-0.669737176864604, 0.998972717420162)"
"353","c(-0.669737176864604, 0.998972717420162)"
"354","c(-0.669737176864604, 0.998972717420162)"
"355","c(-0.669737176864604, 0.998972717420162)"
"356","c(-0.669737176864604, 0.998972717420162)"
"357","c(-0.669737176864604, 0.998972717420162)"
"358","c(-0.669737176864604, 0.998972717420162)"
"359","c(-0.669737176864604, 0.998972717420162)"
"360","c(-0.669737176864604, 0.998972717420162)"
"361","c(-0.641808879905413, 0.993916925031799)"
"362","c(-0.641808879905413, 0.993916925031799)"
"363","c(-0.641808879905413, 0.993916925031799)"
"364","c(-0.641808879905413, 0.993916925031799)"
"365","c(-0.641808879905413, 0.993916925031799)"
"366","c(-0.641808879905413, 0.993916925031799)"
"367","c(-0.641808879905413, 0.993916925031799)"
"368","c(-0.641808879905413, 0.993916925031799)"
"369","c(-0.641808879905413, 0.993916925031799)"
"370","c(-0.641808879905413, 0.993916925031799)"
"371","c(-0.641808879905413, 0.993916925031799)"
"372","c(-0.641808879905413, 0.993916925031799)"
"373","c(-0.641808879905413, 0.993916925031799)"
"374","c(-0.641808879905413, 0.993916925031799)"
"375","c(-0.641808879905413, 0.993916925031799)"
"376","c(-0.641808879905413, 0.993916925031799)"
"377","c(-0.641808879905413, 0.993916925031799)"
"378","c(-0.641808879905413, 0.993916925031799)"
"379","c(-0.641808879905413, 0.993916925031799)"
"380","c(-0.641808879905413, 0.993916925031799)"
"381","c(-0.641808879905413, 0.993916925031799)"
"382","c(-0.641808879905413, 0.993916925031799)"
"383","c(-0.641808879905413, 0.993916925031799)"
"384","c(-0.641808879905413, 0.993916925031799)"
"385","c(-0.641808879905413, 0.993916925031799)"
"386","c(-0.641808879905413, 0.993916925031799)"
"387","c(-0.641808879905413, 0.993916925031799)"
"388","c(-0.641808879905413, 0.993916925031799)"
"389","c(-0.641808879905413, 0.993916925031799)"
"390","c(-0.641808879905413, 0.993916925031799)"
"391","c(-0.641808879905413, 0.993916925031799)"
"392","c(-0.641808879905413, 0.993916925031799)"
"393","c(-0.641808879905413, 0.993916925031799)"
"394","c(-0.641808879905413, 0.993916925031799)"
"395","c(-0.641808879905413, 0.993916925031799)"
"396","c(-0.641808879905413, 0.993916925031799)"
"397","c(-0.801623468421448, 0.996073836322985)"
"398","c(-0.801623468421448, 0.996073836322985)"
"399","c(-0.801623468421448, 0.996073836322985)"
"400","c(-0.801623468421448, 0.996073836322985)"
"401","c(-0.801623468421448, 0.996073836322985)"
"402","c(-0.801623468421448, 0.996073836322985)"
"403","c(-0.801623468421448, 0.996073836322985)"
"404","c(-0.801623468421448, 0.996073836322985)"
"405","c(-0.801623468421448, 0.996073836322985)"
"406","c(-0.801623468421448, 0.996073836322985)"
"407","c(-0.801623468421448, 0.996073836322985)"
"408","c(-0.801623468421448, 0.996073836322985)"
"409","c(-0.801623468421448, 0.996073836322985)"
"410","c(-0.801623468421448, 0.996073836322985)"
"411","c(-0.801623468421448, 0.996073836322985)"
"412","c(-0.801623468421448, 0.996073836322985)"
"413","c(-0.801623468421448, 0.996073836322985)"
"414","c(-0.801623468421448, 0.996073836322985)"
"415","c(-0.801623468421448, 0.996073836322985)"
"416","c(-0.801623468421448, 0.996073836322985)"
"417","c(-0.801623468421448, 0.996073836322985)"
"418","c(-0.801623468421448, 0.996073836322985)"
"419","c(-0.801623468421448, 0.996073836322985)"
"420","c(-0.801623468421448, 0.996073836322985)"
"421","c(-0.801623468421448, 0.996073836322985)"
"422","c(-0.801623468421448, 0.996073836322985)"
"423","c(-0.801623468421448, 0.996073836322985)"
"424","c(-0.801623468421448, 0.996073836322985)"
"425","c(-0.801623468421448, 0.996073836322985)"
"426","c(-0.801623468421448, 0.996073836322985)"
"427","c(-0.801623468421448, 0.996073836322985)"
"428","c(-0.801623468421448, 0.996073836322985)"
"429","c(-0.801623468421448, 0.996073836322985)"
"430","c(-0.801623468421448, 0.996073836322985)"
"431","c(-0.801623468421448, 0.996073836322985)"
"432","c(-0.801623468421448, 0.996073836322985)"
"433","c(-0.669737176864604, 0.998972717420162)"
"434","c(-0.669737176864604, 0.998972717420162)"
"435","c(-0.669737176864604, 0.998972717420162)"
"436","c(-0.669737176864604, 0.998972717420162)"
"437","c(-0.669737176864604, 0.998972717420162)"
"438","c(-0.669737176864604, 0.998972717420162)"
"439","c(-0.669737176864604, 0.998972717420162)"
"440","c(-0.669737176864604, 0.998972717420162)"
"441","c(-0.669737176864604, 0.998972717420162)"
"442","c(-0.669737176864604, 0.998972717420162)"
"443","c(-0.669737176864604, 0.998972717420162)"
"444","c(-0.669737176864604, 0.998972717420162)"
"445","c(-0.669737176864604, 0.998972717420162)"
"446","c(-0.669737176864604, 0.998972717420162)"
"447","c(-0.669737176864604, 0.998972717420162)"
"448","c(-0.669737176864604, 0.998972717420162)"
"449","c(-0.669737176864604, 0.998972717420162)"
"450","c(-0.669737176864604, 0.998972717420162)"
"451","c(-0.669737176864604, 0.998972717420162)"
"452","c(-0.669737176864604, 0.998972717420162)"
"453","c(-0.669737176864604, 0.998972717420162)"
"454","c(-0.669737176864604, 0.998972717420162)"
"455","c(-0.669737176864604, 0.998972717420162)"
"456","c(-0.669737176864604, 0.998972717420162)"
"457","c(-0.669737176864604, 0.998972717420162)"
"458","c(-0.669737176864604, 0.998972717420162)"
"459","c(-0.669737176864604, 0.998972717420162)"
"460","c(-0.669737176864604, 0.998972717420162)"
"461","c(-0.669737176864604, 0.998972717420162)"
"462","c(-0.669737176864604, 0.998972717420162)"
"463","c(-0.669737176864604, 0.998972717420162)"
"464","c(-0.669737176864604, 0.998972717420162)"
"465","c(-0.669737176864604, 0.998972717420162)"
"466","c(-0.669737176864604, 0.998972717420162)"
"467","c(-0.669737176864604, 0.998972717420162)"
"468","c(-0.669737176864604, 0.998972717420162)"
"469","c(-0.641808879905413, 0.993916925031799)"
"470","c(-0.641808879905413, 0.993916925031799)"
"471","c(-0.641808879905413, 0.993916925031799)"
"472","c(-0.641808879905413, 0.993916925031799)"
"473","c(-0.641808879905413, 0.993916925031799)"
"474","c(-0.641808879905413, 0.993916925031799)"
"475","c(-0.641808879905413, 0.993916925031799)"
"476","c(-0.641808879905413, 0.993916925031799)"
"477","c(-0.641808879905413, 0.993916925031799)"
"478","c(-0.641808879905413, 0.993916925031799)"
"479","c(-0.641808879905413, 0.993916925031799)"
"480","c(-0.641808879905413, 0.993916925031799)"
"481","c(-0.641808879905413, 0.993916925031799)"
"482","c(-0.641808879905413, 0.993916925031799)"
"483","c(-0.641808879905413, 0.993916925031799)"
"484","c(-0.641808879905413, 0.993916925031799)"
"485","c(-0.641808879905413, 0.993916925031799)"
"486","c(-0.641808879905413, 0.993916925031799)"
"487","c(-0.641808879905413, 0.993916925031799)"
"488","c(-0.641808879905413, 0.993916925031799)"
"489","c(-0.641808879905413, 0.993916925031799)"
"490","c(-0.641808879905413, 0.993916925031799)"
"491","c(-0.641808879905413, 0.993916925031799)"
"492","c(-0.641808879905413, 0.993916925031799)"
"493","c(-0.641808879905413, 0.993916925031799)"
"494","c(-0.641808879905413, 0.993916925031799)"
"495","c(-0.641808879905413, 0.993916925031799)"
"496","c(-0.641808879905413, 0.993916925031799)"
"497","c(-0.641808879905413, 0.993916925031799)"
"498","c(-0.641808879905413, 0.993916925031799)"
"499","c(-0.641808879905413, 0.993916925031799)"
"500","c(-0.641808879905413, 0.993916925031799)"
"501","c(-0.641808879905413, 0.993916925031799)"
"502","c(-0.641808879905413, 0.993916925031799)"
"503","c(-0.641808879905413, 0.993916925031799)"
"504","c(-0.641808879905413, 0.993916925031799)"
"505","c(-0.801623468421448, 0.996073836322985)"
"506","c(-0.801623468421448, 0.996073836322985)"
"507","c(-0.801623468421448, 0.996073836322985)"
"508","c(-0.801623468421448, 0.996073836322985)"
"509","c(-0.801623468421448, 0.996073836322985)"
"510","c(-0.801623468421448, 0.996073836322985)"
"511","c(-0.801623468421448, 0.996073836322985)"
"512","c(-0.801623468421448, 0.996073836322985)"
"513","c(-0.801623468421448, 0.996073836322985)"
"514","c(-0.801623468421448, 0.996073836322985)"
"515","c(-0.801623468421448, 0.996073836322985)"
"516","c(-0.801623468421448, 0.996073836322985)"
"517","c(-0.801623468421448, 0.996073836322985)"
"518","c(-0.801623468421448, 0.996073836322985)"
"519","c(-0.801623468421448, 0.996073836322985)"
"520","c(-0.801623468421448, 0.996073836322985)"
"521","c(-0.801623468421448, 0.996073836322985)"
"522","c(-0.801623468421448, 0.996073836322985)"
"523","c(-0.801623468421448, 0.996073836322985)"
"524","c(-0.801623468421448, 0.996073836322985)"
"525","c(-0.801623468421448, 0.996073836322985)"
"526","c(-0.801623468421448, 0.996073836322985)"
"527","c(-0.801623468421448, 0.996073836322985)"
"528","c(-0.801623468421448, 0.996073836322985)"
"529","c(-0.801623468421448, 0.996073836322985)"
"530","c(-0.801623468421448, 0.996073836322985)"
"531","c(-0.801623468421448, 0.996073836322985)"
"532","c(-0.801623468421448, 0.996073836322985)"
"533","c(-0.801623468421448, 0.996073836322985)"
"534","c(-0.801623468421448, 0.996073836322985)"
"535","c(-0.801623468421448, 0.996073836322985)"
"536","c(-0.801623468421448, 0.996073836322985)"
"537","c(-0.801623468421448, 0.996073836322985)"
"538","c(-0.801623468421448, 0.996073836322985)"
"539","c(-0.801623468421448, 0.996073836322985)"
"540","c(-0.801623468421448, 0.996073836322985)"
"541","c(-0.669737176864604, 0.998972717420162)"
"542","c(-0.669737176864604, 0.998972717420162)"
"543","c(-0.669737176864604, 0.998972717420162)"
"544","c(-0.669737176864604, 0.998972717420162)"
"545","c(-0.669737176864604, 0.998972717420162)"
"546","c(-0.669737176864604, 0.998972717420162)"
"547","c(-0.669737176864604, 0.998972717420162)"
"548","c(-0.669737176864604, 0.998972717420162)"
"549","c(-0.669737176864604, 0.998972717420162)"
"550","c(-0.669737176864604, 0.998972717420162)"
"551","c(-0.669737176864604, 0.998972717420162)"
"552","c(-0.669737176864604, 0.998972717420162)"
"553","c(-0.669737176864604, 0.998972717420162)"
"554","c(-0.669737176864604, 0.998972717420162)"
"555","c(-0.669737176864604, 0.998972717420162)"
"556","c(-0.669737176864604, 0.998972717420162)"
"557","c(-0.669737176864604, 0.998972717420162)"
"558","c(-0.669737176864604, 0.998972717420162)"
"559","c(-0.669737176864604, 0.998972717420162)"
